,pares_ordenados,primeira_palavra,comprimento,fonema,palavras,frase,abs_posicao
81,"[(51288, 0), (51290, 1), (51292, 0), (51293, 0), (51297, 1), (51298, 0), (51299, 0), (51302, 0), (51303, 0), (51306, 0), (51307, 0), (51308, 0), (51309, 0)]",51288,13,u,"[51288, 51290, 51292, 51293, 51297, 51298, 51299, 51302, 51303, 51306, 51307, 51308, 51309]"," Então vieram muitos [u]rubus, vei[o]
 [o] [u]rubu- camiranga, vei[o] [o] [u]rubu- jeregua [o] [u]rubu- peba [o] [u]rubuministro [o] [u]rubu- tinga que",40113
82,"[(51344, 1), (51345, 1), (51346, 1), (51349, 0)]",51344,4,u,"[51344, 51345, 51346, 51349]"," Urubu é passo fei[o] fei[o] fei[o]!
 [u]rubu é passo limpo",40155
83,"[(51359, 0), (51360, 0), (51364, 0), (51368, 0)]",51359,4,u,"[51359, 51360, 51364, 51368]","
 E era [o] [u]rubu- ruxama, [u]rubu- rei, [o] Pai do Urubu",40166
84,"[(51975, 0), (51975, 4), (51978, 0), (51978, 4)]",51975,4,ma,"[51975, 51975, 51978, 51978]",".
— [ma]cunaí[ma]! ôh [ma]cunaí[ma]!
—",40632
85,"[(52427, 1), (52427, 2), (52428, 1), (52428, 2)]",52427,4,ru,"[52427, 52427, 52428, 52428]",- Cã ficou ju[ru][ru] ju[ru][ru] e principiou imaginando,40962
86,"[(52765, 0), (52766, 0), (52767, 0), (52770, 0)]",52765,4,a,"[52765, 52766, 52767, 52770]"," corgo esperou
 [as]suntando [a] [á]gua. Daí [a] pouco vieram vindo",41216
87,"[(53538, 0), (53539, 0), (53541, 2), (53543, 0)]",53538,4,a,"[53538, 53539, 53541, 53543]"," n'água e num [á]timo [a]
 lago[a] tornava [a] cobrir o rosto",41820
88,"[(54046, 0), (54048, 0), (54050, 0), (54052, 0)]",54046,4,dZi,"[54046, 54048, 54050, 54052]"," Arrancou uma montanha [de] timbó [de] assacú [de] tingui [de] canambí,
",42228
89,"[(54479, 0), (54481, 0), (54483, 0), (54485, 0)]",54479,4,ta~,"[54479, 54481, 54483, 54485]"," apesar
 de [tan]tos casos [tan]ta brincadeira [tan]ta ilusão [tan]to sofri: mento",42569
90,"[(55562, 0), (55564, 1), (55568, 0), (55570, 1)]",55562,4,pak,"[55562, 55564, 55568, 55570]","— Currr- [pac], pa[pac]! currr- [pac], pa[pac]!..",43406
91,"[(55672, 0), (55675, 3), (55678, 0), (55679, 3), (55680, 1)]",55672,5,u,"[55672, 55675, 55678, 55679, 55680]","
— Dá [o] pé, papagai[o].
 [o] papagai[o] vei[o] pousar na cabeça",43477
92,"[(55675, 0), (55675, 1), (55679, 0), (55679, 1)]",55675,4,pa,"[55675, 55675, 55679, 55679]"," o pé, [pa][pa]gaio.
 O [pa][pa]gaio veio pousar na",43479
